Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Kartik Aaryan,@TheAaryanKartik,2024-10-12T05:51:40.000Z,False,Happy Dussehra ,675,1K,21K,354K,[],[],"['\\u2665\\ufe0f', '\\U0001f919']",https://pbs.twimg.com/profile_images/1844707357235773444/kKGNYBmQ_normal.jpg,https://x.com/TheAaryanKartik/status/1844979228736958486,tweet_id:1844979228736958486
Pop Base,@PopBase,2024-10-12T17:40:49.000Z,True,Halsey impersonates Amy Lee of Evanescence for her upcoming album ‘The Great Impersonator.’ Out October 25th.,771,6K,103K,2.4M,[],[],[],https://pbs.twimg.com/profile_images/1268086791443230737/BRGz4AiW_normal.jpg,https://x.com/PopBase/status/1845157691712209075,tweet_id:1845157691712209075
Troll Football,@TrollFootball,2024-10-12T14:49:11.000Z,True,"*People complaining about how unrealistic FC25 is*

Me in 2006:",1K,10K,89K,3.9M,[],[],[],https://pbs.twimg.com/profile_images/1612788418010042369/9wIHyK2z_normal.jpg,https://x.com/TrollFootball/status/1845114495879741526,tweet_id:1845114495879741526
Jaya_Upadhyaya,@Jayalko1,2024-10-12T09:59:23.000Z,True,Magic in his camera(Beautiful capture by Mitesh Patil Ji),96,1.5K,15K,719K,[],[],['\\u2763\\ufe0f'],https://pbs.twimg.com/profile_images/1559405710043074560/kpR7LREv_normal.jpg,https://x.com/Jayalko1/status/1845041565548302633,tweet_id:1845041565548302633
cricBC,@cricBC,2024-10-12T15:07:45.000Z,True,Parag and Pandya. The two biggest egos playing together. No wonder the running is shambolic. #INDvBAN,14,86,1.4K,25K,['#INDvBAN'],[],[],https://pbs.twimg.com/profile_images/1041641976897126400/2GY09ZLv_normal.jpg,https://x.com/cricBC/status/1845119168405704977,tweet_id:1845119168405704977
non aesthetic things,@PicturesFoIder,2024-10-12T07:23:14.000Z,True,Getting a blackout tattoo and then getting it lasered is crazy ,1.7K,3.6K,52K,24M,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/989513875124117504/UNMIb20k_normal.jpg,https://x.com/PicturesFoIder/status/1845002271492341864,tweet_id:1845002271492341864
cinesthetic.,@TheCinesthetic,2024-10-12T18:08:00.000Z,True,halloween (1978) / halloween (2018),37,2.1K,27K,460K,[],[],[],https://pbs.twimg.com/profile_images/1385452682517745667/mfcIUnoX_normal.jpg,https://x.com/TheCinesthetic/status/1845164530915213439,tweet_id:1845164530915213439
The Hollywood Handle,@HollywoodHandle,2024-10-12T02:02:03.000Z,True,Happy 56th birthday to Hugh Jackman! ,134,2.8K,21K,388K,[],[],['\\U0001f389'],https://pbs.twimg.com/profile_images/1711528237577261056/Qd2pFmF5_normal.jpg,https://x.com/HollywoodHandle/status/1844921441785118931,tweet_id:1844921441785118931
DiscussingFilm,@DiscussingFilm,2024-10-12T14:53:37.000Z,True,"Ryan Reynolds’ birthday message for Hugh Jackman:

“I hope we get to do this til we’re 90.”",205,3.2K,65K,1.1M,[],[],[],https://pbs.twimg.com/profile_images/1706429397467549696/hmvwfChQ_normal.jpg,https://x.com/DiscussingFilm/status/1845115614961991834,tweet_id:1845115614961991834
Marvel Comics,@MarvelComicsHQ,2024-10-11T18:00:01.000Z,True,"You might know him as Kitty Pryde's pet alien dragon, but Lockheed is a hero in his own right!

Scroll here to revisit some of his greatest adventures on the X-Men and beyond ",15,224,2.5K,137K,[],[],['\\U0001f9f5'],https://pbs.twimg.com/profile_images/1802333761947770881/QyzbojaI_normal.jpg,https://x.com/MarvelComicsHQ/status/1844800135059984557,tweet_id:1844800135059984557
Why you should have a cat,@ShouldHaveCat,2024-10-12T10:38:58.000Z,True,the cat thinks it's a ritual to something,189,5.1K,63K,1.4M,[],[],['\\U0001f639'],https://pbs.twimg.com/profile_images/1365068242918780928/m278bxAZ_normal.jpg,https://x.com/ShouldHaveCat/status/1845051527435547106,tweet_id:1845051527435547106
A.R.Rahman Vibes,@ARRvibes,2024-10-12T10:05:55.000Z,True,"All are lyric, just language change  ",143,147,1.1K,101K,[],['@arrahman'],['\\u2764'],https://pbs.twimg.com/profile_images/1717450992537493504/4h3IhGw0_normal.jpg,https://x.com/ARRvibes/status/1845043210277495274,tweet_id:1845043210277495274
RKᵃ,@seeuatthemovie,2024-10-12T14:34:25.000Z,True,Leaked Footage released from Katrina Kaif's Birthday Party ,60,233,684,61K,[],[],['\\U0001f480'],https://pbs.twimg.com/profile_images/1840333585032642560/GNGk-z7g_normal.jpg,https://x.com/seeuatthemovie/status/1845110782549266850,tweet_id:1845110782549266850
Posts Of Cats,@PostsOfCats,2024-10-12T17:17:21.000Z,True,My cat understands English ,145,7.2K,58K,1.6M,[],[],"['\\U0001f923', '\\U0001f923', '\\U0001f431']",https://pbs.twimg.com/profile_images/1623992191268839424/afgp0HTj_normal.jpg,https://x.com/PostsOfCats/status/1845151784265744697,tweet_id:1845151784265744697
contents that ll heal your depression,@Catshealdeprsn,2024-10-12T18:37:32.000Z,True,,38,4.8K,75K,697K,[],[],[],https://pbs.twimg.com/profile_images/1830295508914786304/XFd8jG2Y_normal.jpg,https://x.com/Catshealdeprsn/status/1845171964484387039,tweet_id:1845171964484387039
Dr. Maalouf,@realMaalouf,2024-10-12T16:41:02.000Z,True,"Prince Mohammed bin Salman: ""From now on, only Saudi Arabian women can decide what clothes Saudi Arabian women wear!""",602,2K,18K,541K,[],[],[],https://pbs.twimg.com/profile_images/1771658176200318976/zppeMEGD_normal.jpg,https://x.com/realMaalouf/status/1845142646022426915,tweet_id:1845142646022426915
Lea Thompson,@LeaKThompson,2024-10-13T00:44:35.000Z,False,I was engaged to him.#VoteBlueToStopTheStupid #crimeisactuallydown,3.4K,4.6K,41K,1.9M,"['#VoteBlueToStopTheStupid', '#crimeisactuallydown']",[],['\\U0001f914'],https://pbs.twimg.com/profile_images/1722540391092670464/OekGdApk_normal.jpg,https://x.com/LeaKThompson/status/1845264336199037274,tweet_id:1845264336199037274
Nature is Amazing,@AMAZlNGNATURE,2024-10-12T18:06:04.000Z,True,This is how Dorper Sheep descend,999,3.3K,23K,2.3M,[],[],[],https://pbs.twimg.com/profile_images/992795937574604802/FMGk7GZN_normal.jpg,https://x.com/AMAZlNGNATURE/status/1845164045441151294,tweet_id:1845164045441151294
